title,url,stage,day,time,lfm_id
Ben Howard,http://benhowardmusic.co.uk/,OTHER STAGE,SATURDAY,20:40 - 21:55,10304981
Ben Pearce,,STONEBRIDGE,FRIDAY,14:00 - 15:30,31135258
Ben Poole,http://www.benpoole.co.uk,ACOUSTIC STAGE,FRIDAY,12:55 - 13:25,17456921
Benjamin Booker,http://www.benjaminbookermusic.com/,THE PARK STAGE,FRIDAY,18:30 - 19:30,76699872
Benny Boot,,CABARET,SATURDAY,18:00 - 18:30,68395824
Benton,,BABYLON UPRISING,FRIDAY,01:00 - 02:00,9943794
Beth Porter,http://www.bethporter.x10.mx/,THE BANDSTAND,THURSDAY,15:20 - 16:20,33639625
Beyond The Wizards Sleeve,,STONEBRIDGE,FRIDAY,18:00 - 20:00,13104299
Bicep,https://soundcloud.com/feelmybicep,THE TEMPLE,SUNDAY,00:30 - 02:00,10930419
Big Beat,,THE GATEWAY,FRIDAY,18:10 - 18:40,10055272
Big Narstie,http://bignarstie.com/,WOW!,SATURDAY,19:20 - 20:00,14277262
Biggles Wartime Band,http://www.biggleswartimeband.co.uk,CROISSANT NEUF,SUNDAY,16:00 - 17:00,12861719
Biggles,,CROISSANT NEUF BANDSTAND,THURSDAY,14:00 - 14:45,6758421
Bikini Beach Band,http://www.bikinibeach.co.uk/,HMS SWEET CHARITY,FRIDAY,03:00 - 04:00,1075295
Billy Bragg,http://www.billybragg.co.uk,TOAD HALL,THURSDAY,19:30 - 20:00,4149
Billy Rowan - The Undercover Hippy,http://www.billyrowan.co.uk/,SMALL WORLD STAGE,THURSDAY,22:00 - 23:15,80733857
BiMM,,CROISSANT NEUF BANDSTAND,WEDNESDAY,15:30 - 16:30,13953252
Birthday Party,,JUGGLING TENT,FRIDAY,18:00 - 19:00,605
Black Peaches,http://www.facebook.com/BlackPeachesBand,RABBIT HOLE,SATURDAY,20:30 - 21:30,93491170
blackSKYwhite,http://www.blackskywhite.com/cntnt/eng/eng-glavnaya.html,THE ASTROLABE THEATRE,FRIDAY,00:00 - 01:00,35734047
BLISS ZION,,BABYLON UPRISING,SATURDAY,18:00 - 19:00,82233792
Bobby Long,http://www.bobbylong.info,ACOUSTIC STAGE,SATURDAY,12:50 - 13:20,11133530
Bodhi,,STONEBRIDGE,FRIDAY,20:00 - 22:00,6772303
bohemianauts,,GREENPEACE,THURSDAY,14:00 - 14:45,74302800
Bonkaz,https://soundcloud.com/bonkaz,SONIC,SUNDAY,19:15 - 19:45,16006233
Boogie Cartel,,NYC DOWNLOW,THURSDAY,02:00 - 03:00,80253437
Boogie Nights,,VILLAGE INN,THURSDAY,21:00 - 23:00,1074676
Booka Shade,,ARCADIA,FRIDAY,21:00 - 22:00,6655796
Borgore,http://therealborgore.com/,SONIC,FRIDAY,23:00 - 00:30,46991444
Born On Road,http://www.soundcloud.com/born-on-road,SALON CAROUSEL,SUNDAY,23:00 - 01:00,90766220
Bowjangles,,THE SUMMER HOUSE,FRIDAY,17:25 - 17:45,18589301
Boxcar Joe Strouzer,http://www.boxcarjoe.bandcamp.com/,SMALL WORLD STAGE,SUNDAY,16:00 - 17:00,96780550
Brass Funkeys,,THE HOUSE OF COME ONS,SUNDAY,23:15 - 00:15,77566472
Brawther,,GENOSYS,FRIDAY,02:30 - 04:30,47731249
Brian Boothby,http://www.brianboothby.co.uk/,MANDALA STAGE,WEDNESDAY,23:00 - 00:00,21389269
BROADER THAN BROADWAY,,STONEBRIDGE,FRIDAY,22:00 - 23:30,21309806
Buffo's Wake,,THE LIZARD STAGE,THURSDAY,21:30 - 22:30,64005045
Buffos wake,http://www.buffoswake.co.uk/,SMALL WORLD STAGE,SATURDAY,21:45 - 22:45,64001950
Buffo’s Wake,,THE HOUSE OF COME ONS,FRIDAY,00:00 - 01:00,81355605
