AFFICOMAN,,HEDS PARTY IN SONIC,FRIDAY,04:00 - 07:00
AFRIQUI DJ,,HELL STAGE,SATURDAY,01:30 - 01:50
AGE OF GLASS,http://theageofglass.com,RABBIT HOLE,SATURDAY,03:00 - 04:00
AGRUPACION CARINO (MEXICO),https://www.youtube.com/watch?v=861iODpjZaE,THE RUM SHACK,THURSDAY,20:00 - 21:00
AJÍ PA' TÍ,http://www.ajipati.co.uk,GLASTO LATINO,THURSDAY,22:00 - 23:45
AKALA (LYRIX ORGANIX PRESENTS),https://m.youtube.com/watch?v=uvQnXuQz0HE,THE RUM SHACK,THURSDAY,22:00 - 23:00
AKALA,http://www.akalamusic.moonfruit.com/,LEFT FIELD,SATURDAY,19:30 - 20:30
AKUA NARU,http://www.akuanaru.com/,GLADE,FRIDAY,18:05 - 19:05
AKUA NARU,http://www.akuanaru.com/,LA PUSSY PARLURE,SATURDAY,18:00 - 19:00
AL O'KANE,,AVALON CAFÉ STAGE,SATURDAY,11:30 - 12:15
AL O'KANE,,AVALON CAFÉ STAGE,SUNDAY,14:30 - 15:15
ALABAMA 3,http://www.alabama3.co.uk,GLADE,FRIDAY,22:55 - 00:25
ALABAMA SHAKES,http://www.alabamashakes.com,PYRAMID STAGE,FRIDAY,14:30 - 15:30
ALASTAIR CAPLIN,,THE LIZARD STAGE,SUNDAY,16:00 - 17:00
ALEX METRIC,https://soundcloud.com/alexmetric,BEZ'S ACID HOUSE,FRIDAY,02:00 - 04:00
ALFIE CONNOR,https://www.facebook.com/alfieconnormusic,BBC INTRODUCING,SUNDAY,14:15 - 14:40
ALFRED,http://www.soundcloud.com/theofficialalfred,THE BANDSTAND,SATURDAY,15:00 - 15:40
ALIJI,https://soundcloud.com/aliji_music/summer-is-coming,GLADE LOUNGE,FRIDAY,21:00 - 22:00
ALISON CHANGE,https://www.facebook.com/alison.change?fref=ts,MANDALA STAGE,THURSDAY,11:30 - 13:00
ALISON CHANGE,https://www.facebook.com/alison.change?fref=ts,MANDALA STAGE,FRIDAY,11:30 - 13:00
ALISON CHANGE,https://www.facebook.com/alison.change?fref=ts,MANDALA STAGE,SATURDAY,11:30 - 01:00
ALISON CHANGE,https://www.facebook.com/alison.change?fref=ts,MANDALA STAGE,SUNDAY,11:30 - 01:00
ALL WE ARE,http://www.thisisallweare.co.uk/,WILLIAM'S GREEN,SUNDAY,14:00 - 14:40
ALLEY CAT,,LONDON UNDERGROUND,SATURDAY,23:15 - 00:30
ALO WALA,https://www.facebook.com/alowalamusic,LA PUSSY PARLURE,SUNDAY,00:45 - 01:45
ALPACAPPELLA,http://www.alpacappella.co.uk,TOAD HALL,SUNDAY,14:30 - 14:55
ALT-J,http://www.altjband.com,PYRAMID STAGE,SUNDAY,17:45 - 18:45
ALTERN 8,,ARCADIA,SUNDAY,01:00 - 02:30
ALVVAYS,http://alvvays.com/,JOHN PEEL STAGE,SUNDAY,15:40 - 16:20
AMATEURISM,http://amateurism.co.uk/,THE BEAT HOTEL,SATURDAY,12:00 - 13:30
AMY BECKER,,ARCADIA,SUNDAY,18:00 - 19:00
AMY BECKER,http://www.amybeckerdj.com,THE SPACEPORT,THURSDAY,19:00 - 20:00
AMY BECKER,http://www.facebook.com/amybeckerdj,THE TEMPLE,FRIDAY,00:00 - 01:00
AMY-SNEAK PREVIEW,http://www.amyfilm.co.uk/,WILLIAM'S GREEN,THURSDAY,14:45 - 17:00
ANDREW MAXWELL MORRIS,http://www.andrewmaxwellmorris.com,TOAD HALL,WEDNESDAY,20:00 - 20:45
ANDREYA TRIANA (LIVE),,GREENPEACE,SATURDAY,17:00 - 17:45
ANDREYA TRIANA,http://counterrecords.com/andreyatriana/,SONIC,SATURDAY,13:30 - 14:30
ANDY BURDEN,,THE BANDSTAND,SUNDAY,12:00 - 12:40
ANDY BUTLER (HERCULES & LOVE AFFAIR),,GENOSYS,FRIDAY,18:00 - 19:30
ANDY BUTLER (HERCULES & LOVE AFFAIR),,NYC DOWNLOW,FRIDAY,03:00 - 04:30
ANDY KERSHAW,,GULLY,SATURDAY,21:30 - 23:00
ANDY MARSHALL 1940'S CROONER,,CROONER'S CORNER,FRIDAY,16:20 - 16:50
ANDY MARSHALL 1940'S CROONER,,CROONER'S CORNER,FRIDAY,13:00 - 13:30
ANDY MARSHALL 1940'S CROONER,,CROONER'S CORNER,SATURDAY,16:20 - 16:50
ANDY MARSHALL 1940'S CROONER,,CROONER'S CORNER,SATURDAY,13:00 - 13:30
ANDY MARSHALL 1940'S CROONER,,CROONER'S CORNER,SUNDAY,16:20 - 16:50
ANDY MARSHALL 1940'S CROONER,,CROONER'S CORNER,SUNDAY,13:00 - 13:30
ANDY P & FRAISER FUNK,,DELUXE DINER,Sunday,02:00 - 05:00
ANDY P,,DELUXE DINER,Thursday,01:00 - 02:30
ANDY SNATCH,http://www.andysnatch.com,THE PAVEMENT,FRIDAY,11:20 - 11:50
ANDY SNATCH,http://www.andysnatch.com,THE PAVEMENT,SATURDAY,11:20 - 11:50
ANDY SNATCH,http://www.andysnatch.com,THE PAVEMENT,SUNDAY,11:20 - 11:50
ANDYP,,DELUXE DINER,Saturday,15:00 - 17:00
ANGIE MACK,http://Http://www.dazzlingmills.com,THE PAVEMENT,FRIDAY,10:10 - 10:40
ANGIE MACK,http://Http://www.dazzlingmills.com,THE PAVEMENT,SATURDAY,10:10 - 10:40
ANGIE MACK,http://Http://www.dazzlingmills.com,THE PAVEMENT,SUNDAY,10:10 - 10:40
ANICCA,,BABYLON UPRISING,SATURDAY,20:00 - 21:00
ANIMAL CRACKERS,http://steviepea.wix.com/peapod,ANCIENT FUTURES,THURSDAY,00:30 - 01:30
ANNIE MAC LIVE BROADCAST,,BBC INTRODUCING,FRIDAY,19:00 - 22:20
ANNIE MAC,,ARCADIA,SATURDAY,23:30 - 00:30
ANNIE NIGHTINGALE,https://www.facebook.com/AnnieNightingale.DJ,GLADE,SATURDAY,00:35 - 01:45
ANNIE TRAILER TRASH,,DELUXE DINER,Wednesday,22:00 - 00:00
ANNIE TRAILER TRASH,,DELUXE DINER,Thursday,23:30 - 01:00
ANNIE TRAILER TRASH,,DELUXE DINER,Thursday,12:00 - 13:30
ANNIE TRAILER TRASH,,DELUXE DINER,Friday,12:00 - 13:30
ANNIE TRAILER TRASH,,DELUXE DINER,Saturday,12:00 - 13:30
ANNIE TRAILER TRASH,,DELUXE DINER,Sunday,12:00 - 13:30
ANTON MASKELIADE,http://www.maskeliade.com/,SONIC,SATURDAY,12:00 - 13:00
ANUSHKA,http://www.anushkaofficial.com/,LA PUSSY PARLURE,SATURDAY,16:30 - 17:30
ANYONE FOR TENNIS,http://www.foolsparadise.co.uk/companies/fairlyfamousfamily/,BELLA'S FIELD,FRIDAY,16:00 - 16:45
ANYONE FOR TENNIS,http://www.foolsparadise.co.uk/companies/fairlyfamousfamily/,BELLA'S FIELD,FRIDAY,12:00 - 12:45
ANYONE FOR TENNIS,http://www.foolsparadise.co.uk/companies/fairlyfamousfamily/,BELLA'S FIELD,SATURDAY,16:00 - 16:45
ANYONE FOR TENNIS,http://www.foolsparadise.co.uk/companies/fairlyfamousfamily/,BELLA'S FIELD,SATURDAY,12:00 - 12:45
ANYONE FOR TENNIS,http://www.foolsparadise.co.uk/companies/fairlyfamousfamily/,BELLA'S FIELD,SUNDAY,16:00 - 17:00
ANYONE FOR TENNIS,http://www.foolsparadise.co.uk/companies/fairlyfamousfamily/,BELLA'S FIELD,SUNDAY,12:00 - 13:00
ARIES,https://soundcloud.com/aries-uk,THE CAVE,SUNDAY,02:00 - 03:00
ARIES,https://www.mixcloud.com/ariesuk/,SALON CAROUSEL,SATURDAY,22:00 - 23:00
ARIF RAMADAN (COMPERE),,SENSATION SEEKERS STAGE,FRIDAY,12:00 - 14:00
ARIF RAMADAN (COMPERE),,SENSATION SEEKERS STAGE,SATURDAY,12:00 - 14:00
ARIF RAMADAN (COMPERE),,SENSATION SEEKERS STAGE,SUNDAY,22:00 - 00:40
ASBO DISCO & GARDNA,http://asbodis.co/en/index,THE SPACEPORT,THURSDAY,16:30 - 17:45
ASIF KAPADIA Q+A,http://www.amyfilm.co.uk/,WILLIAM'S GREEN,THURSDAY,14:20 - 14:45
ASPHALT EXODUS,http://en.asphalt.co.il/ASPHALT-EXODUS.html,THE SUMMER HOUSE,FRIDAY,20:20 - 21:00
ASPHALT EXODUS,http://en.asphalt.co.il/ASPHALT-EXODUS.html,THE SUMMER HOUSE,SATURDAY,20:20 - 21:00
ASPHALT EXODUS,http://en.asphalt.co.il/ASPHALT-EXODUS.html,THE SUMMER HOUSE,SUNDAY,20:10 - 20:50
ASTRONOMYY,http://www.astronomyy.com/,LA PUSSY PARLURE,FRIDAY,16:30 - 17:30
ASYLUMS,http://www.asylumsband.com/,BBC INTRODUCING,SATURDAY,15:50 - 16:15
ATHENE ROBERTS AND TIM ASHTON,,AVALON CAFÉ STAGE,FRIDAY,15:30 - 16:15
AUDIO STUD,,THE SPACEPORT,SATURDAY,20:30 - 22:00
AVALON ROOTS,http://www.avalonroots.co.uk/,ANCIENT FUTURES,SUNDAY,20:00 - 21:30
AWESOME TAPES FROM AFRICA,,GENOSYS,SATURDAY,17:30 - 19:30
AWESOME TAPES FROM AFRICA,,NYC DOWNLOW,SATURDAY,23:30 - 01:00
AZEALIA BANKS,http://www.azealiabanks.com/,OTHER STAGE,SATURDAY,13:25 - 14:15
AZEKEL,http://www.azekel.com/,BBC INTRODUCING,FRIDAY,16:00 - 16:25
B.TRAITS,http://btraits.com/,WOW!,SATURDAY,00:00 - 01:00
BABY WOLF,,GREENPEACE/ THE ENGINE ROOM,THURSDAY,01:00 - 02:00
BABYHEAD 20TH ANNIVERSARY SPECIAL,http://babyhead.co.uk/,HELL STAGE,SATURDAY,02:55 - 03:50
BABYLON CLOSING CEREMONY (HOME TIME!),,BABYLON UPRISING,SUNDAY,00:00 - 02:00
BABYLON UPRISING ALLSTARS,,BABYLON UPRISING,THURSDAY,11:00 - 14:30
BABYLON UPRISING ALLSTARS,,BABYLON UPRISING,FRIDAY,11:00 - 14:00
BABYLON UPRISING ALLSTARS,,BABYLON UPRISING,SUNDAY,11:00 - 13:00
BACK BEFORE BREAKFAST,https://myspace.com/backbeforebreakfast,THE BANDSTAND,SUNDAY,14:00 - 14:40
BACK BEFORE BREAKFAST,,AVALON CAFÉ STAGE,THURSDAY,14:30 - 15:15
BAD FOR LAZARUS,http://badforlazarus.wordpress.com/,HELL STAGE,SATURDAY,22:05 - 23:50
BAGGY MONDAYS,http://www.facebook.com/baggymondays,STONEBRIDGE,THURSDAY,19:00 - 20:30
BAGHDADDIES,,THE HOUSE OF COME ONS,SUNDAY,01:30 - 02:30
BAHAMIAN MOOR,,THE BEAT HOTEL,FRIDAY,12:00 - 13:30
BAILA LA CUMBIA,https://bailalacumbia.wordpress.com,THE BANDSTAND,SATURDAY,22:30 - 23:30
BALLIN' JACKS,,THE ROCKET LOUNGE,Saturday,01:00 - 02:00
BALTHAZAR,http://www.balthazarband.be/,LA PUSSY PARLURE,THURSDAY,02:00 - 03:00
BAMBOO AND OAK. HIROKI OKANO AND NIGEL SHAW,http://www.tenkoo.com,TOAD HALL,WEDNESDAY,23:00 - 00:00
BAMBOO AND OAK. HIROKI OKANO AND NIGEL SHAW,http://www.tenkoo.com,TOAD HALL,SUNDAY,16:30 - 17:30
BANCO DE GAIA,http://www.banco.co.uk,CROISSANT NEUF,SUNDAY,01:00 - 02:00
BANCO DE GAIA,http://www.banco.co.uk,AVALON CAFÉ STAGE,FRIDAY,22:30 - 23:30
BANCO DE GAIA,,THE SPIKE,Saturday,00:00 - 01:00
BANOFFEE PIES,https://soundcloud.com/banoffee-pies,THE TEMPLE,SUNDAY,22:00 - 23:00
BARE HUNTER,http://www.barehunter.co.uk/,AVALON CAFÉ STAGE,SUNDAY,21:00 - 22:00
BARE KNUCKLE PARADE,http://www.bareknuckleparade.com/,AVALON STAGE,FRIDAY,14:20 - 15:15
BARRY ASHWORTH ( DUBPISTOLS ),,GREENPEACE/ THE ENGINE ROOM,THURSDAY,00:00 - 01:00
BASHMENT BISH- NEGUSA NEGAST SOUNDSYSTEM,https://www.mixcloud.com/tag/bashment-bish/,THE CAVE,FRIDAY,22:00 - 23:00
BASHMENT BISH,,DELUXE DINER,Sunday,18:00 - 19:30
BATCH GUEYE BAND,http://www.batchgueye.co.uk,CROISSANT NEUF,SUNDAY,17:30 - 18:30
BATIDA,https://www.facebook.com/batida,LA PUSSY PARLURE,SUNDAY,18:45 - 19:45
BEANS ON TOAST WITH SPECIAL GUESTS,http://beansontoastmusic.com/,THE ROCKET LOUNGE,Sunday,13:00 - 17:00
BEANS ON TOAST,http://beansontoastmusic.com/,HELL STAGE,THURSDAY,20:00 - 20:40
BEANS ON TOAST,,GREENPEACE,SATURDAY,12:00 - 12:30
BEAR'S DEN,http://www.bearsdenmusic.co.uk/,AVALON STAGE,SUNDAY,16:55 - 17:55
BEARCUBS,https://www.facebook.com/bearcubsmusic,BBC INTRODUCING,FRIDAY,17:30 - 17:55
BEARDED KITTEN ALLSTARS,,THE TEMPLE,SUNDAY,17:00 - 18:00
BEAUCHAMP,,BABYLON UPRISING,SATURDAY,13:00 - 14:00
BELLE AND SEBASTIAN,http://www.belleandsebastian.com/,OTHER STAGE,SUNDAY,18:45 - 19:45
BEN & LEX,http://www.benandlex.co.uk,GLADE LOUNGE,THURSDAY,00:00 - 01:30
BEN DORLING,,NYC DOWNLOW,WEDNESDAY,22:00 - 23:55
BEN HOWARD,http://benhowardmusic.co.uk/,OTHER STAGE,SATURDAY,20:40 - 21:55
BEN PEARCE,https://www.facebook.com/events/701598736635253/,STONEBRIDGE,FRIDAY,14:00 - 15:30
BEN POOLE,http://www.benpoole.co.uk,ACOUSTIC STAGE,FRIDAY,12:55 - 13:25
BENJAMIN BOOKER,http://www.benjaminbookermusic.com/,THE PARK STAGE,FRIDAY,18:30 - 19:30
BENJI B PRESENTS DEVIATION,https://www.facebook.com/events/701598736635253/,STONEBRIDGE,THURSDAY,22:00 - 03:00
BENTON,,BABYLON UPRISING,FRIDAY,01:00 - 02:00
BERNARD GOYDER,https://www.youtube.com/watch?v=5ynRTbpNj78,MANDALA STAGE,FRIDAY,01:00 - 02:00
BERNARD GOYDER,https://www.youtube.com/watch?v=5ynRTbpNj78,MANDALA STAGE,SUNDAY,19:00 - 20:00
BETH PORTER & THE AVAILABLES,http://www.bethporter.x10.mx/,THE BANDSTAND,THURSDAY,15:20 - 16:20
BEYOND REPAIR DANCE,http://WWW.BEYONDREPAIRDANCE.COM,THE SUMMER HOUSE,FRIDAY,14:25 - 14:45
BEYOND REPAIR DANCE,http://WWW.BEYONDREPAIRDANCE.COM,THE SUMMER HOUSE,FRIDAY,12:50 - 13:10
BEYOND REPAIR DANCE,http://WWW.BEYONDREPAIRDANCE.COM,THE SUMMER HOUSE,SATURDAY,14:25 - 14:45
BEYOND REPAIR DANCE,http://WWW.BEYONDREPAIRDANCE.COM,THE SUMMER HOUSE,SATURDAY,12:50 - 13:10
BEYOND REPAIR DANCE,http://WWW.BEYONDREPAIRDANCE.COM,THE SUMMER HOUSE,SUNDAY,14:15 - 14:35
BEYOND REPAIR DANCE,http://WWW.BEYONDREPAIRDANCE.COM,THE SUMMER HOUSE,SUNDAY,12:40 - 13:00
BEYOND THE WIZARDS SLEEVE,https://www.facebook.com/events/701598736635253/,STONEBRIDGE,FRIDAY,18:00 - 20:00
BICEP,https://soundcloud.com/feelmybicep,THE TEMPLE,SUNDAY,00:30 - 02:00
BIG BEAT,,THE GATEWAY,FRIDAY,18:10 - 18:40
BIG BEAT,,THE GATEWAY,FRIDAY,12:40 - 13:25
BIG BEAT,,THE GATEWAY,SATURDAY,18:10 - 18:40
BIG BEAT,,THE GATEWAY,SATURDAY,12:40 - 13:25
BIG BEAT,,THE GATEWAY,SUNDAY,18:10 - 18:40
BIG BEAT,,THE GATEWAY,SUNDAY,12:40 - 13:25
"BIG BILL'S RADICAL ROUND-UP FT. BILLY BRAGG, NAOMI BEDFORD, GRACE PETRIE",,LEFT FIELD,SUNDAY,15:00 - 16:00
"BIG BILL'S RADICAL ROUND-UP FT. BILLY BRAGG, STEVE DREWITT, LISA O'NEILL",,LEFT FIELD,FRIDAY,15:00 - 16:30
BIG NARSTIE,http://bignarstie.com/,WOW!,SATURDAY,19:20 - 20:00
BIG SWING SOUNDSYSTEM AND HYPEMAN SAGE,http://bigswingsoundsystem.com/,HEAVEN,THURSDAY,20:00 - 21:00
BIGGLES WARTIME BAND,http://www.biggleswartimeband.co.uk,CROISSANT NEUF,SUNDAY,16:00 - 17:00
BIGGLES WARTIME BAND,,CROISSANT NEUF BANDSTAND,WEDNESDAY,14:00 - 15:30
BIGGLES' WARTIME BAND,http://www.biggleswartimeband.co.uk,THE BANDSTAND,FRIDAY,14:00 - 14:40
BIGGLES,,CROISSANT NEUF BANDSTAND,THURSDAY,14:00 - 14:45
BIKINI BEACH BAND,http://www.bikinibeach.co.uk/,HMS SWEET CHARITY,FRIDAY,03:00 - 04:00
BILLY BRAGG,http://www.billybragg.co.uk,TOAD HALL,THURSDAY,19:30 - 20:00
BILLY BRAGG,http://www.billybragg.co.uk/,LEFT FIELD,FRIDAY,21:00 - 22:00
BILLY KIDD SHOW,http://www.billykiddshow.com,THE PAVEMENT,FRIDAY,16:50 - 17:20
BILLY KIDD SHOW,http://www.billykiddshow.com,THE PAVEMENT,SATURDAY,16:50 - 17:20
BILLY KIDD SHOW,http://www.billykiddshow.com,THE PAVEMENT,SUNDAY,16:50 - 17:20
BILLY KIDD SHOW,http://www.billykiddshow.com,A LITTLE MORE SENSATION,FRIDAY,13:50 - 14:20
BILLY KIDD SHOW,http://www.billykiddshow.com,A LITTLE MORE SENSATION,SATURDAY,13:50 - 14:20
BILLY KIDD SHOW,http://www.billykiddshow.com,A LITTLE MORE SENSATION,SUNDAY,13:50 - 14:20
BILLY ROWAN - THE UNDERCOVER HIPPY,http://www.billyrowan.co.uk/,SMALL WORLD STAGE,THURSDAY,22:00 - 23:15
BIMM SESSIONS,http://www.bimm.co.uk,CROISSANT NEUF,SUNDAY,12:45 - 14:15
BIMM – BECKY ARUNDEL,,CROISSANT NEUF BANDSTAND,FRIDAY,17:00 - 17:30
BIMM – FRANKIE AND MIKEY,,CROISSANT NEUF BANDSTAND,SUNDAY,17:00 - 17:30
BIMM – MIKEY VICKERS,,CROISSANT NEUF BANDSTAND,SATURDAY,20:00 - 20:30
BIMM – PAPER HAWK DUO,,CROISSANT NEUF BANDSTAND,THURSDAY,13:00 - 01:30
BIMM – SCOTT BOOTH,,CROISSANT NEUF BANDSTAND,SUNDAY,14:00 - 14:30
BIMM- FRANKIE FURLOW,,CROISSANT NEUF BANDSTAND,FRIDAY,19:30 - 20:00
BIMM,,CROISSANT NEUF BANDSTAND,WEDNESDAY,15:30 - 16:30
BLACK BUTTER : GORGON CITY,http://black-butter.co.uk/gorgon-city/,LBHQ - HEAVENLY KINGDOM,FRIDAY,02:00 - 03:00
BLACK BUTTER : KARMA KID,https://soundcloud.com/karmakidmusic,LBHQ - HEAVENLY KINGDOM,FRIDAY,00:00 - 01:00
BLACK BUTTER : KIDNAP KID,http://black-butter.co.uk/kidnap-kid/,LBHQ - HEAVENLY KINGDOM,FRIDAY,03:00 - 04:00
BLACK BUTTER : KLOSE ONE,http://residentadvisor.net/dj/kloseone,LBHQ - HEAVENLY KINGDOM,FRIDAY,04:00 - 05:00
BLACK BUTTER : M.A.X,,LBHQ - HEAVENLY KINGDOM,FRIDAY,05:00 - 06:00
BLACK BUTTER : MIKE OK,https://soundcloud.com/mikeok,LBHQ - HEAVENLY KINGDOM,FRIDAY,19:00 - 20:30
BLACK BUTTER : NVOY,,LBHQ - HEAVENLY KINGDOM,FRIDAY,22:00 - 23:30
BLACK BUTTER : PAOLO FRANCESCO,https://soundcloud.com/iampaolofrancesco,LBHQ - HEAVENLY KINGDOM,FRIDAY,20:30 - 22:00
BLACK BUTTER : SAM SURE LIVE,http://black-butter.co.uk/sam-sure/,LBHQ - HEAVENLY KINGDOM,FRIDAY,23:30 - 00:00
BLACK BUTTER : SEB CHEW & LEO GREENSLADE,,LBHQ - HEAVENLY KINGDOM,FRIDAY,01:00 - 02:00
BLACK PEACHES,http://www.facebook.com/BlackPeachesBand,RABBIT HOLE,SATURDAY,20:30 - 21:30
BLISS ZION,,BABYLON UPRISING,SATURDAY,18:00 - 19:00
BLISS ZION,,THE BLUES,FRIDAY,13:00 - 14:30
BLOCO OLFI,https://soundcloud.com/bloco-olofi,SMALL WORLD STAGE,FRIDAY,21:45 - 22:45
BLOCO OLOFI,,THE GATEWAY,FRIDAY,10:30 - 11:00
BLOCO OLOFI,,THE GATEWAY,SATURDAY,10:30 - 11:00
BLOCO OLOFI,,THE GATEWAY,SUNDAY,10:30 - 11:00
BLUES KITCHEN DJ'S,,THE RUM SHACK,FRIDAY,03:00 - 04:00
BLUES KITCHEN DJ'S,http://theblueskitchen.com/camden/,THE RUM SHACK,FRIDAY,01:00 - 02:00
BLUES LEGENDS JAM,,THE LIZARD STAGE,SATURDAY,21:00 - 22:00
BLUES SESSION WITH FRED STITZ,,THE LIZARD STAGE,WEDNESDAY,17:00 - 19:00
BOA KUSASA,,BABYLON UPRISING,THURSDAY,19:30 - 21:00
BOBBY LONG,http://www.bobbylong.info,ACOUSTIC STAGE,SATURDAY,12:50 - 13:20
BOBBY THE PERSUADER,,HEAVEN,SUNDAY,21:00 - 22:00
BODHI,https://www.facebook.com/events/701598736635253/,STONEBRIDGE,FRIDAY,20:00 - 22:00
BODY CLOCKS,https://soundcloud.com/body-clocks,RABBIT HOLE,SATURDAY,15:00 - 15:30
BOHEMIANAUTS,,GREENPEACE,THURSDAY,14:00 - 14:45
BOHEMIANAUTS,,THE LIZARD STAGE,FRIDAY,23:00 - 00:00
BONKAZ,https://soundcloud.com/bonkaz,SONIC,SUNDAY,19:15 - 19:45
BOOGIE CARTEL,,NYC DOWNLOW,THURSDAY,02:00 - 03:00
BOOGIE CARTEL,,THE DOWNLOW RADIO,THURSDAY,23:00 - 00:30
BOOGIE NIGHTS,,VILLAGE INN,THURSDAY,23:00 - 01:30
BOOGIE NIGHTS,,VILLAGE INN,FRIDAY,21:00 - 23:00
BOOGIE NIGHTS,,VILLAGE INN,SATURDAY,23:00 - 01:30
BOOKA SHADE,,ARCADIA,FRIDAY,21:00 - 22:00
BORGORE,http://therealborgore.com/,SONIC,FRIDAY,23:00 - 00:30
BORN ON THE ROAD SHOWCASE,http:// http://www.soundcloud.com/born-on-road,SALON CAROUSEL,SUNDAY,23:00 - 01:00
BOWJANGLES,,THE SUMMER HOUSE,FRIDAY,17:25 - 17:45
BOWJANGLES,,THE SUMMER HOUSE,SATURDAY,17:25 - 17:45
BOWJANGLES,,THE SUMMER HOUSE,SUNDAY,17:15 - 17:35
BOWJANGLES,,SENSATION SEEKERS STAGE,FRIDAY,12:40 - 13:00
BOWJANGLES,,SENSATION SEEKERS STAGE,SATURDAY,12:40 - 13:00
BOWJANGLES,,SENSATION SEEKERS STAGE,SUNDAY,12:40 - 13:00
BOXCAR JOE STROUZER,http://www.boxcarjoe.bandcamp.com/,SMALL WORLD STAGE,SUNDAY,16:00 - 17:00
