title,url,stage,day,time,mbid,lfm_url,orig_name
Birdy,http://officialbirdy.com,AVALON STAGE,SATURDAY,20:10 - 21:10,f821fdb7-a5c4-4ad5-b5b2-3415c43a0d95,https://www.last.fm/music/Birdy,BIRDY
bitvert,,THE GAS TOWER,SUNDAY,00:00 - 01:00,,https://www.last.fm/music/bitvert,BITVERT
Black Cactus,,THE SPIKE,FRIDAY,19:30 - 20:30,,https://www.last.fm/music/Black+Cactus,BLACK CACTUS
Black Honey,,JOHN PEEL STAGE,FRIDAY,13:00 - 13:40,,https://www.last.fm/music/Black+Honey,BLACK HONEY
Black Jesus Experience,http://blackjesusexperience.com/,GULLY,SATURDAY,16:15 - 17:30,ed8a131a-3ec7-4410-a848-40aa670111e0,https://www.last.fm/music/Black+Jesus+Experience,BLACK JESUS EXPERIENCE
Black Kat Boppers,https://blackkatboppers.com/,THE ROCKET LOUNGE,WEDNESDAY,22:00 - 00:00,,https://www.last.fm/music/Black+Kat+Boppers,BLACK KAT BOPPERS
Black Pepper,,GREENPEACE/ENGINE ROOM,SUNDAY,15:45 - 16:30,,https://www.last.fm/music/Black+Pepper,BLACK PEPPER
BLACKASH,http://www.black-ash.co.uk,THE RABBIT HOLE,SUNDAY,01:45 - 02:30,,https://www.last.fm/music/BLACKASH,BLACKASH
Bladerunner,,SALON CAROUSEL,SATURDAY,03:00 - 04:00,939c7f55-e433-4c7c-aff1-e7dd72f0ed7e,https://www.last.fm/music/Bladerunner,BLADERUNNER
Blaenavon,http://blaenavon.com/,WILLIAM'S GREEN,SUNDAY,17:50 - 18:25,6fcabcfc-e595-4de5-b3df-ab4ff5aa587b,https://www.last.fm/music/Blaenavon,BLAENAVON
Blawan,,GENOSYS,FRIDAY,01:30 - 03:00,c27d4389-390e-497c-9a41-dd446ace742c,https://www.last.fm/music/Blawan,BLAWAN
BLISS ZION,,THE BLUES,FRIDAY,13:00 - 14:00,,https://www.last.fm/music/BLISS+ZION,BLISS ZION
Blossoms,http://www.blossomsband.co.uk/,PYRAMID STAGE,FRIDAY,13:30 - 14:15,bdc343bd-1c45-4a5d-b956-c4429f3dbba5,https://www.last.fm/music/Blossoms,BLOSSOMS
Blue Lab Beats,http://bluelabbeats.com/,PUSSY PARLURE,FRIDAY,12:30 - 13:10,,https://www.last.fm/music/Blue+Lab+Beats,BLUE LAB BEATS
Bo Ningen,http://boningen.info/,THE PARK STAGE,FRIDAY,12:15 - 13:00,321fa0d2-e8ee-4232-ade1-676514676d2c,https://www.last.fm/music/Bo+Ningen,BO NINGEN
Boca 45,http://www.boca45.co.uk/,PUSSY PARLURE,FRIDAY,22:00 - 23:30,86f8c7e7-b99e-4405-a2aa-6f4830e1ffe3,https://www.last.fm/music/Boca+45,BOCA 45
Bones Garage,http://www.bonesgarageband.com/,PUSSY PARLURE,SUNDAY,12:45 - 13:45,,https://www.last.fm/music/Bones+Garage,BONES GARAGE
Boogie Cartel,,THE MEAT RACK,SATURDAY,01:30 - 03:00,,https://www.last.fm/music/Boogie+Cartel,BOOGIE CARTEL
